rozmiar macierzy,gęstość,czas,narzędzie,cpu
2048,1.0,2349.277145306,wątki,2
16,0.3,1.130385647,MPI,8
16,0.6,0.000278045,MPI,8
16,1.0,0.000192976,MPI,8
32,0.3,0.000611684,MPI,8
32,0.6,0.000606713,MPI,8
32,1.0,0.00077709,MPI,8
64,0.3,0.004188503,MPI,8
64,0.6,0.003785648,MPI,8
64,1.0,0.004729714,MPI,8
128,0.3,0.031077803,MPI,8
128,0.6,0.043052632,MPI,8
128,1.0,0.016613383,MPI,8
256,0.3,0.165030552,MPI,8
256,0.6,0.116083816,MPI,8
256,1.0,0.122219333,MPI,8
512,0.3,1.465600186,MPI,8
512,0.6,1.430278225,MPI,8
512,1.0,1.414696011,MPI,8
1024,0.3,24.509306901,MPI,8
1024,0.6,21.499268317,MPI,8
1024,1.0,20.85977882,MPI,8
2048,0.3,271.973847703,MPI,8
2048,0.6,237.323033775,MPI,8
2048,1.0,256.224445163,MPI,8
